吉林建筑大学测勘学院
主点要素:
p1=0.545	p2=0.545	q1=59.994	q2=59.994	T1=382.307	T2=382.307
圆曲线长Ly=506.78	平曲线 L=746.78	 外矢距 E=46.772	切曲差D=17.834
主点里程桩号：
KZH=3246.326	KHY=3366.326	KQZ=3619.716	KYH=3873.106	KHZ=3993.106
主点坐标：
ZH(x,y) 4040754.442,495544.813	HY(x,y) 4040873.056,495562.891
YH(x,y) 4041332.125,495766.78	HZ(x,y) 4041425.067,495842.661

逐桩坐标
桩号      X坐标         Y坐标          切线方位角(d.ms) 左边桩X      左边桩Y      右边桩X      右边桩Y      
2845.918  4040357.574    495491.689     7.372694       4040359.199    495479.547     4040355.949    495503.831     
2850      4040361.62     495492.231     7.372694       4040363.245    495480.089     4040359.995    495504.373     
2860      4040371.532    495493.557     7.372694       4040373.157    495481.415     4040369.907    495505.699     
2870      4040381.443    495494.884     7.372694       4040383.068    495482.742     4040379.818    495507.026     
2880      4040391.355    495496.211     7.372694       4040392.98     495484.069     4040389.73     495508.353     
2890      4040401.266    495497.538     7.372694       4040402.891    495485.396     4040399.641    495509.68      
2900      4040411.178    495498.864     7.372694       4040412.803    495486.722     4040409.553    495511.006     
2910      4040421.089    495500.191     7.372694       4040422.714    495488.049     4040419.464    495512.333     
2920      4040431.001    495501.518     7.372694       4040432.626    495489.376     4040429.376    495513.66      
2930      4040440.913    495502.845     7.372694       4040442.538    495490.703     4040439.288    495514.987     
2940      4040450.824    495504.171     7.372694       4040452.449    495492.029     4040449.199    495516.313     
2950      4040460.736    495505.498     7.372694       4040462.361    495493.356     4040459.111    495517.64      
2960      4040470.647    495506.825     7.372694       4040472.272    495494.683     4040469.022    495518.967     
2970      4040480.559    495508.151     7.372694       4040482.184    495496.009     4040478.934    495520.293     
2980      4040490.471    495509.478     7.372694       4040492.096    495497.336     4040488.846    495521.62      
2990      4040500.382    495510.805     7.372694       4040502.007    495498.663     4040498.757    495522.947     
3000      4040510.294    495512.132     7.372694       4040511.919    495499.99      4040508.669    495524.274     
3010      4040520.205    495513.458     7.372694       4040521.83     495501.316     4040518.58     495525.6       
3020      4040530.117    495514.785     7.372694       4040531.742    495502.643     4040528.492    495526.927     
3030      4040540.029    495516.112     7.372694       4040541.654    495503.97      4040538.404    495528.254     
3040      4040549.94     495517.439     7.372694       4040551.565    495505.297     4040548.315    495529.581     
3050      4040559.852    495518.765     7.372694       4040561.477    495506.623     4040558.227    495530.907     
3060      4040569.763    495520.092     7.372694       4040571.388    495507.95      4040568.138    495532.234     
3070      4040579.675    495521.419     7.372694       4040581.3      495509.277     4040578.05     495533.561     
3080      4040589.587    495522.746     7.372694       4040591.212    495510.604     4040587.962    495534.888     
3090      4040599.498    495524.072     7.372694       4040601.123    495511.93      4040597.873    495536.214     
