吉林建筑大学测勘学院
主点要素:
p1=0.3044	p2=0.3044	q1=79.9986	q2=79.9986	T1=1021.9137	T2=1021.9137
圆曲线长Ly=1680.1834	平曲线 L=2000.1834	 外矢距 E=124.6711	切曲差D=43.644
主点里程桩号：
KZH=72057.074	KHY=72217.074	KQZ=73057.1657	KYH=73897.2574	KHZ=74057.2574
主点坐标：
ZH(x,y) 24996.5767,69553.7061	HY(x,y) 25034.835,69398.351
YH(x,y) 25827.408,67935.074	HZ(x,y) 25936.625,67818.154

逐桩坐标
桩号      X坐标         Y坐标          切线方位角(d.ms) 左边桩X      左边桩Y      右边桩X      右边桩Y      
72057.074 24996.5767     69553.7061     283.23552      24984.66       69550.867      25008.493      69556.545      
72060     24997.255      69550.86       283.235677     24985.338      69548.021      25009.172      69553.699      
72070     24999.573      69541.132      283.242593     24987.657      69538.292      25011.489      69543.972      
72080     25001.893      69531.405      283.253187     24989.978      69528.561      25013.808      69534.249      
72090     25004.217      69521.679      283.27146      24992.303      69518.829      25016.131      69524.529      
72100     25006.547      69511.954      283.293412     24994.635      69509.096      25018.459      69514.812      
72110     25008.884      69502.231      283.323042     24996.975      69499.363      25020.793      69505.099      
72120     25011.23       69492.51       283.360352     24999.324      69489.629      25023.136      69495.391      
72130     25013.588      69482.792      283.401339     25001.685      69479.897      25025.491      69485.687      
72140     25015.958      69473.077      283.450006     25004.059      69470.165      25027.857      69475.989      
72150     25018.342      69463.365      283.502351     25006.448      69460.435      25030.236      69466.295      
72160     25020.742      69453.658      283.562375     25008.853      69450.707      25032.631      69456.609      
72170     25023.161      69443.954      284.030077     25011.277      69440.98       25035.045      69446.928      
72180     25025.598      69434.256      284.101458     25013.721      69431.257      25037.475      69437.255      
72190     25028.057      69424.563      284.180518     25016.187      69421.537      25039.927      69427.589      
72200     25030.539      69414.876      284.263257     25018.676      69411.821      25042.402      69417.931      
72210     25033.046      69405.195      284.353674     25021.191      69402.108      25044.901      69408.282      
72217.074 25034.835      69398.351      284.42239      25022.986      69395.241      25046.684      69401.461      
72220     25035.579      69395.521      284.451612     25023.733      69392.401      25047.425      69398.641      
72230     25038.14       69385.855      284.550471     25026.303      69382.701      25049.977      69389.009      
