吉林建筑大学测勘学院
主点要素:
p1=1.875	p2=1.875	q1=149.972	q2=149.972	T1=686.373	T2=686.373
圆曲线长Ly=747.198	平曲线 L=1347.198	 外矢距 E=72.494	切曲差D=25.548
主点里程桩号：
KZH=155224.535	KHY=155524.535	KQZ=155898.134	KYH=156271.733	KHZ=156571.733
主点坐标：
ZH(x,y) 33670.847,51097.981	HY(x,y) 33854.693,51334.953
YH(x,y) 34159.648,52012.333	HZ(x,y) 34215.177,52307.073

逐桩坐标
桩号      X坐标         Y坐标          切线方位角(d.ms) 左边桩X      左边桩Y      右边桩X      右边桩Y      
155224.53533670.847      51097.981      50.454606      33680.335      51090.232      33661.359      51105.73       
155230    33674.304      51102.214      50.45512       33683.792      51094.466      33664.816      51109.962      
155240    33680.628      51109.96       50.462717      33690.118      51102.213      33671.138      51117.707      
155250    33686.951      51117.707      50.473753      33696.443      51109.964      33677.459      51125.45       
155260    33693.27       51125.458      50.492226      33702.766      51117.719      33683.774      51133.197      
155270    33699.585      51133.212      50.514137      33709.086      51125.48       33690.084      51140.944      
155280    33705.894      51140.97       50.543485      33715.402      51133.246      33696.386      51148.694      
155290    33712.195      51148.735      50.580272      33721.711      51141.02       33702.679      51156.45       
155300    33718.488      51156.507      51.020496      33728.013      51148.804      33708.963      51164.21       
155310    33724.772      51164.286      51.064157      33734.307      51156.595      33715.237      51171.977      
155320    33731.044      51172.074      51.115257      33740.591      51164.398      33721.497      51179.75       
155330    33737.304      51179.873      51.173794      33746.863      51172.213      33727.745      51187.533      
155340    33743.55       51187.682      51.235769      33753.124      51180.039      33733.976      51195.325      
155350    33749.781      51195.503      51.305182      33759.37       51187.88       33740.192      51203.126      
155360    33755.996      51203.338      51.382033      33765.601      51195.735      33746.391      51210.941      
155370    33762.193      51211.186      51.462321      33771.816      51203.606      33752.57       51218.766      
155380    33768.371      51219.049      51.550047      33778.013      51211.493      33758.729      51226.605      
155390    33774.529      51226.929      52.041211      33784.191      51219.399      33764.867      51234.459      
155400    33780.665      51234.825      52.135813      33790.349      51227.322      33770.981      51242.328      
155410    33786.778      51242.739      52.241852      33796.484      51235.266      33777.072      51250.212      
155420    33792.866      51250.672      52.351329      33802.596      51243.229      33783.136      51258.115      
155430    33798.928      51258.625      52.464244      33808.683      51251.215      33789.173      51266.035      
155440    33804.963      51266.598      52.584596      33814.744      51259.222      33795.182      51273.974      
155450    33810.97       51274.593      53.112387      33820.778      51267.253      33801.162      51281.933      
155460    33816.946      51282.611      53.243615      33826.782      51275.309      33807.11       51289.913      
155470    33822.891      51290.652      53.38228       33832.756      51283.389      33813.026      51297.915      
155480    33828.803      51298.718      53.524384      33838.698      51291.497      33818.908      51305.939      
155490    33834.68       51306.808      54.073925      33844.606      51299.63       33824.754      51313.986      
155500    33840.522      51314.924      54.230904      33850.481      51307.791      33830.563      51322.057      
155510    33846.326      51323.067      54.391321      33856.318      51315.98       33836.334      51330.154      
